Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№32312421531;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;"На продление неисключительных прав использования базы данных Электронная система «Госфинансы»и приобретение баз данных Кадровая Справочная Система «Система Кадры»Версия для бюджетных, казенных и автономных учреждений, базы данных базы данных «Госзаказ»,  Юридической Справочной Системы ""Система Юрист"" для бюджетных учреждений";;;1;"На продление неисключительных прав использования базы данных Электронная система «Госфинансы»и приобретение баз данных Кадровая Справочная Система «Система Кадры»Версия для бюджетных, казенных и автономных учреждений, базы данных базы данных «Госзаказ»,  Юридической Справочной Системы ""Система Юрист"" для бюджетных учреждений";362291.70;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ МИРОВОЙ ЛИТЕРАТУРЫ ИМ.А.М. ГОРЬКОГО РОССИЙСКОЙ АКАДЕМИИ НАУК;;25.05.2023;25.05.2023;Закупка завершена;;25.05.2023;11.06.2023;
223-ФЗ;№32312413625;Прочие;передача неисключительных прав на использование программного обеспечения;;;1;Услуга по передаче неисключительных прав на использование программного обеспечения;248862.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ №5 ""ГИМНАЗИЯ""";;24.05.2023;24.05.2023;Закупка завершена;;24.05.2023;;
223-ФЗ;№32312412602;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Право заключения договора на поставку лицензий «UserGate»;;;1;Право заключения договора на поставку лицензий «UserGate»;2395000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТЭНЕРГОСБЫТ""";;23.05.2023;23.05.2023;Закупка завершена;;23.05.2023;31.05.2023;
223-ФЗ;№32312406713;Прочие;"Оказание услуг по разработке сайта для нужд МУП ""Водосток""";;;1;"Услуги по разработке сайта для нужд МУП ""Водосток""";350000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОСТОК""";;22.05.2023;22.05.2023;Закупка завершена;;22.05.2023;;
223-ФЗ;№32312403413;Прочие;Предоставление неисключительного права на ис-пользование программного обеспечения «Пирамида 2.0»;;;1;Предоставление неисключительного права на использование программного обеспечения «Пирамида 2.0»;350000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГИП-ЭЛЕКТРО""";;22.05.2023;22.05.2023;Закупка завершена;;22.05.2023;;
223-ФЗ;№32312391421;Закупка у единственного поставщика (подрядчика, исполнителя);"услуги по продвижению информации о деятельности автономного учреждения Чувашской Республики ""Фонд развития промышленности и инвестиционной деятельности в Чувашской Республике"" Министерства промышленности и энергетики Чувашской Республики в СМИ, о деятельности отдела республиканского центра компетенции в сфере производительности труда Фонда  в СМИ";;;1;Услуги по продвижению информации о деятельности Учреждения в СМИ;216000.00;RUB;;;;;63.9: Услуги информационные прочие;63.9: Услуги информационные прочие;"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЧУВАШСКОЙ РЕСПУБЛИКИ ""ФОНД РАЗВИТИЯ ПРОМЫШЛЕННОСТИ И ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ В ЧУВАШСКОЙ РЕСПУБЛИКЕ"" МИНИСТЕРСТВА ПРОМЫШЛЕННОСТИ И ЭНЕРГЕТИКИ ЧУВАШСКОЙ РЕСПУБЛИКИ";;17.05.2023;17.05.2023;Закупка завершена;;17.05.2023;;
223-ФЗ;№32312385581;Закупка у единственного поставщика (подрядчика, исполнителя);Поставка антивирусного ПО  (только для участия субъектов малого и среднего предпринимательства);;;1;Поставка антивирусного ПО ;349690.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УЛЬЯНОВСКАЯ СЕТЕВАЯ КОМПАНИЯ""";;16.05.2023;16.05.2023;Закупка завершена;;16.05.2023;;
223-ФЗ;№32312381215;Закупка у единственного поставщика (подрядчика, исполнителя);Оказание услуг по техническому сопровождению, доработке и адаптации ИТ структуры Заказчика.;;;1;оказание услуг по техническому сопровождению, доработке и адаптации ИТ структуры Заказчика.;1000000.00;RUB;;;;;"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАГЭНЕРЖИ""";;15.05.2023;15.05.2023;Закупка завершена;;15.05.2023;;
223-ФЗ;№32312374989;Закупка у единственного поставщика (подрядчика, исполнителя);услуги по приведению информационных систем персональных данных Заказчика в соответствие с требованиями федерального законодательства в области защиты информации и персональных данных ;;;1;услуги по приведению информационных систем персональных данных Заказчика в соответствие с требованиями федерального законодательства в области защиты информации и персональных данных ;125000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КАЛИНИНГРАДСКОЙ ОБЛАСТИ ПРОФЕССИОНАЛЬНАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""КОЛЛЕДЖ ПРЕДПРИНИМАТЕЛЬСТВА""";;12.05.2023;12.05.2023;Закупка завершена;;12.05.2023;;
223-ФЗ;№32312374697;Прочие;"Право использования программы ""Стек-Интеграция"" Модуль ""ГИС-ЖКХ""";;;1;"Право использования программы ""Стек-Интеграция"" Модуль ""ГИС-ЖКХ""";108200.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЕКСИНЭНЕРГОСБЫТ""";;12.05.2023;12.05.2023;Закупка завершена;;12.05.2023;12.05.2023;
223-ФЗ;№32312373475;Запрос предложений в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Оказание услуг по адаптации и информационному сопровождению ранее установленной и используемой версии СПС «Консультант Плюс», для нужд ООО «Аэропорт Емельяново»;;;1;Оказание услуг по адаптации и информационному сопровождению ранее установленной и используемой версии СПС «Консультант Плюс», для нужд ООО «Аэропорт Емельяново»;1095638.44;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЭРОПОРТ ЕМЕЛЬЯНОВО""";;12.05.2023;12.05.2023;Закупка завершена;;12.05.2023;22.05.2023;
223-ФЗ;№32312358755;Закупка у единственного поставщика (подрядчика, исполнителя);Оказание услуг по разработке программного обеспечения;;;1;Оказание услуг по разработке программного обеспечения;495000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ МЕТРОЛОГИЧЕСКОЙ СЛУЖБЫ""";;04.05.2023;04.05.2023;Закупка завершена;;04.05.2023;;
223-ФЗ;№32312357546;Закупка у единственного поставщика (подрядчика, исполнителя);"Услуги по внедрению программного продукта ""1С:Бухгалтерия государственного учреждения 8, редакция 2.0"" ";;;1;"Услуги по внедрению программного продукта ""1С:Бухгалтерия государственного учреждения 8, редакция 2.0""  ";180000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ПО РАБОТЕ С ДЕТЬМИ И МОЛОДЕЖЬЮ ГОРОДА НЯГАНИ ""ДОМ МОЛОДЕЖИ""";;04.05.2023;04.05.2023;Закупка завершена;;04.05.2023;;
223-ФЗ;№32312344371;Прочие;Передача неисключительных прав на использование программного обеспечения tNavigator;;;1;"Передача неисключительных прав на использование программного обеспечения tNavigator для нужд Ижевского филиала ФГБУ ""ВНИГНИ"".";7497000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ГЕОЛОГИЧЕСКИЙ НЕФТЯНОЙ ИНСТИТУТ""";;28.04.2023;28.04.2023;Закупка завершена;;28.04.2023;;
223-ФЗ;№32312342914;Прочие;Услуги по ежемесячному обслуживанию информационной базы 1С и пользовательской поддержке, разместив информационные базы 1С Заказчика на сервере исполнителя;;;1;Услуги по ежемесячному обслуживанию информационной базы 1С и пользовательской поддержке, разместив информационные базы 1С Заказчика на сервере исполнителя;80000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕДАКЦИЯ ГАЗЕТЫ ""ЕДИНСТВО""";;28.04.2023;28.04.2023;Закупка завершена;;28.04.2023;28.04.2023;
223-ФЗ;№32312336777;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;"продление неисключительных прав использования базы данных Электронная система «Госфинансы»и приобретение баз данных Кадровая Справочная Система «Система Кадры»Версия для бюджетных, казенных и автономных учреждений, базы данных базы данных «Госзаказ»,  Юридической Справочной Системы ""Система Юрист"" для бюджетных учреждений";;;1;"Продление неисключительных прав использования базы данных Электронная система «Госфинансы»и приобретение баз данных Кадровая Справочная Система «Система Кадры»Версия для бюджетных, казенных и автономных учреждений, базы данных базы данных «Госзаказ»,  Юридической Справочной Системы ""Система Юрист"" для бюджетных учреждений";362291.70;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ МИРОВОЙ ЛИТЕРАТУРЫ ИМ.А.М. ГОРЬКОГО РОССИЙСКОЙ АКАДЕМИИ НАУК;;27.04.2023;27.04.2023;Закупка завершена;;27.04.2023;14.05.2023;
223-ФЗ;№32312327246;Прочие;"Поставка программного обеспечения ""Смета План""";;;1;"Поставка программного обеспечения ""Смета План""";244000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;25.04.2023;25.04.2023;Закупка завершена;;25.04.2023;;
223-ФЗ;№32312308467;Прочие;Поставка программного обеспечения для нужд Федерального бюджетного учреждения здравоохранения «Центр гигиены и эпидемиологии в Республике Мордовия»;;;1;Поставка программного обеспечения для нужд Федерального бюджетного учреждения здравоохранения «Центр гигиены и эпидемиологии в Республике Мордовия»;88500.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ В РЕСПУБЛИКЕ МОРДОВИЯ""";;19.04.2023;19.04.2023;Закупка завершена;;19.04.2023;;
223-ФЗ;№32312307540;Закупка у единственного поставщика (подрядчика, исполнителя);Подписка на обновление ПО Nekta на 1 год, пакет ретрансляторов 6000 точек (только для участия субъектов малого и среднего предпринимательства);;;1;Подписка на обновление ПО Nekta на 1 год, пакет ретрансляторов 6000 точек.;264000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УЛЬЯНОВСКАЯ СЕТЕВАЯ КОМПАНИЯ""";;19.04.2023;19.04.2023;Закупка завершена;;19.04.2023;;
223-ФЗ;№32312301485;Прочие;Поставка программного обеспечения EngGeo и сертификатов техподдержки к программному обеспечению EngGeo;;;1;Поставка программного обеспечения EngGeo и сертификатов техподдержки к программному обеспечению EngGeo;412000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;18.04.2023;18.04.2023;Закупка завершена;;18.04.2023;;
223-ФЗ;№32312291463;Закупка у единственного поставщика (подрядчика, исполнителя);информационно-консультационные услуги по сопровождению «1С:Бухгалтерия» ;;;1;Информационно-консультационные услуги по сопровождению «1С:Бухгалтерия»;297000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ""БАШСПИРТ""";;14.04.2023;14.04.2023;Закупка завершена;;14.04.2023;;
223-ФЗ;№32312265652;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Права на программы для ЭВМ Kaspersky Endpoint Security для бизнеса- Расширенный Russian Edition/50-99 ;;;1;Права на программы для ЭВМ Kaspersky Endpoint Security для бизнеса- Расширенный Russian Edition/50-99 ;143370.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕЛАБУЖСКОЕ ПРЕДПРИЯТИЕ ТЕПЛОВЫХ СЕТЕЙ""";;06.04.2023;13.04.2023;Закупка завершена;;06.04.2023;19.04.2023;
223-ФЗ;№32312275708;Прочие;Предоставление сертификата технической поддержки программного обеспечения RuSIEM;;;1;Предоставление сертификата технической поддержки программного обеспечения RuSIEM;2950700.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФОРТУМ""";;10.04.2023;10.04.2023;Закупка завершена;;10.04.2023;25.04.2023;
223-ФЗ;№32312275447;Закупка у единственного поставщика (подрядчика, исполнителя);услуги по настройке и обслуживанию программного обеспечения и локально–вычислительной сети ;;;1;услуги по настройке и обслуживанию программного обеспечения и локально-вычислительной сети;15000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ГОРОДСКОЙ ДОМ КУЛЬТУРЫ"" Г. НОВОЧЕРКАССКА";;10.04.2023;10.04.2023;Закупка завершена;;10.04.2023;;
223-ФЗ;№32312205076;Прочие;Лицензии и техническое сопровождение на программный комплекс по учету и анализу аварийности в электрических сетях;;;1;Лицензии и техническое сопровождение на программный комплекс по учету и анализу аварийности в электрических сетях;9750000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЕ ЭЛЕКТРИЧЕСКИЕ СЕТИ КАМЧАТКИ""";;20.03.2023;03.04.2023;Закупка завершена;;20.03.2023;14.04.2023;
223-ФЗ;№32312251137;Закупка у единственного поставщика (подрядчика, исполнителя);Право заключения договора на оказание услуг по оформлению групповой подписки на лицензионные Изображения (750 загрузок в месяц) на 1 год с доступом к аккаунту не более чем 10 утвержденных пользователей;;;1;Право заключения договора на оказание услуг по оформлению групповой подписки на лицензионные Изображения (750 загрузок в месяц) на 1 год с доступом к аккаунту не более чем 10 утвержденных пользователей;6600.00;USD;;;;;"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТСПИРТПРОМ""";;03.04.2023;03.04.2023;Закупка завершена;;03.04.2023;;
223-ФЗ;№32312248136;Прочие;"Приобретение доступа к электронной правовой системе ""Госзаказ""";;;1;"Приобретение доступа к электронной правовой системе ""Госзаказ""";262199.00;RUB;;;;;63.9: Услуги информационные прочие;63.9: Услуги информационные прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ АЭРОКОСМИЧЕСКОГО ПРИБОРОСТРОЕНИЯ""";;31.03.2023;31.03.2023;Закупка завершена;;31.03.2023;;
223-ФЗ;№32312245093;Прочие;Право заключения сублицензионного договора на предоставление имущественного права использования программ для ЭВМ или баз данных для АО «НТЭК», лот 52/23 (3274381);;;1;Право заключения сублицензионного договора на предоставление имущественного права использования программ для ЭВМ или баз данных для АО «НТЭК», лот 52/23;2414020.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОРИЛЬСКО-ТАЙМЫРСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";;31.03.2023;31.03.2023;Закупка завершена;;31.03.2023;07.04.2023;
223-ФЗ;№32312241156;Прочие;Поставка программного обеспечения Профиль, модуль «Сети НВК»;;;1;Поставка программного обеспечения Профиль, модуль «Сети НВК»;110000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;30.03.2023;30.03.2023;Закупка завершена;;30.03.2023;;
223-ФЗ;№32312237195;Закупка у единственного поставщика (подрядчика, исполнителя);Предоставление неисключительной сублицензии на использование программного обеспечения;;;1;Предоставлении неисключительной сублицензии на использование программного обеспечения;36000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕПЛОСНАБЖАЮЩАЯ КОМПАНИЯ""";;29.03.2023;29.03.2023;Закупка завершена;;29.03.2023;;
223-ФЗ;№32312227051;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Оказание услуг по консультационному и техническому сопровождению системы персонифицированного финансирования дополнительного образования детей в Свердловской области, «Навигатора дополнительного образования детей в Свердловской области»;;;1;Оказание услуг по консультационному и техническому сопровождению системы персонифицированного финансирования дополнительного образования детей в Свердловской области, «Навигатора дополнительного образования детей в Свердловской области»;3400000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ДВОРЕЦ МОЛОДЁЖИ""";;27.03.2023;27.03.2023;Закупка завершена;;27.03.2023;05.04.2023;
223-ФЗ;№32312225625;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Поставка программного обеспечения «Перевод Старт-Проф Эконом в вариант Проф»;;;1;Поставка программного обеспечения «Перевод Старт-Проф Эконом в вариант Проф»;108000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗЭНЕРГО""";;24.03.2023;24.03.2023;Закупка завершена;;24.03.2023;06.04.2023;
223-ФЗ;№32312198349;Прочие;Поставка программного обеспечения nanoCAD;;;1;Поставка программного обеспечения nanoCAD ;296566.67;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;16.03.2023;16.03.2023;Закупка завершена;;16.03.2023;;
223-ФЗ;№32312198167;Прочие;Поставка программного обеспечения EngGeo;;;1;Поставка программного обеспечения EngGeo ;332000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;16.03.2023;16.03.2023;Закупка завершена;;16.03.2023;;
223-ФЗ;№32312197793;Прочие;Программное обеспечение Борей 3D;;;1;Программное обеспечение Борей 3D;324000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;16.03.2023;16.03.2023;Закупка завершена;;16.03.2023;;
